Title,Price,Location,Date
Захісне скло для смартфонів Xiaomi.,61 грн.,Ковель,18 травня 2024 р.
"Смартфон протиударний Oukitel WP19 8GB/256Gb, 21000mAh,IP69K,нічне бач",9 799 грн.,"Київ, Шевченківський",Сьогодні о 11:41
Смартфон Samsung Galaxy Flip 5 8/256GB (Lavender),29 000 грн.,Миколаїв Жовтневий,13 травня 2024 р.
"Смартфон Xiaomi Redmi Note 11, 6/128 ГБ",1 900 грн.,Туровець,19 травня 2024 р.
Смартфон Xiaomi Redmi note 10,"2 300 грн.
Договірна","Київ, Деснянський",19 травня 2024 р.
Смартфон xiaomi mi note 10,"3 300 грн.
Договірна","Київ, Деснянський",Сьогодні о 10:04
Смартфони оптом на разборку,300 грн.,"Київ, Дарницький",16 травня 2024 р.
Смартфон телефон в отличном рабочем состоянии.,800 грн.,Кам'янське,13 травня 2024 р.
Продам смартфон редми 12,3 000 грн.,Ізмаїл,19 травня 2024 р.
"ОПТ Смартфони, мобільні телефони, повернення з Амазон","3 500 грн.
Договірна",Луцьк,19 травня 2024 р.
Різні сенсорні телефони смартфони,900 грн.,Полтава,Сьогодні о 12:29
Смартфон Meizu M6 Note,350 грн.,Кролевець,18 травня 2024 р.
Смартфон Huawei p 20,"2 000 грн.
Договірна",Суми,19 травня 2024 р.
Смартфон Apple iPhone 13 128GB Blue,16 999 грн.,"Харків, Основ'янський",19 травня 2024 р.
Смартфон Мейзу 6 нот3/32,980 грн.,Городок,03 травня 2024 р.
ІДЕАЛ Телефон Смартфон Xiaomi Redmi 9A 2/32 Гб,2 250 грн.,"Кропивницький, Фортечний",19 травня 2024 р.
Смартфон Xiaomi 12 Ultra,"5 000 грн.
Договірна","Київ, Печерський",Сьогодні о 14:33
Плівка для смартфону. Найкращє олеофобне покриття!!!,378 грн.,"Одеса, Київський",23 квітня 2024 р.
Смартфон Google Pixel 5 8/128gb Без ремонтів. Працездатний на всі 100%,4 500 грн.,Сарни,19 травня 2024 р.
2 робочі смартфони Huawei Honor,1 200 грн.,Ніжин,07 травня 2024 р.
Смартфон Xiaomi 12X,8 500 грн.,Коломия,16 травня 2024 р.
Чехол смартфони xiaomi Redmi Note 6pro новий,37 грн.,Капітанка,09 травня 2024 р.
Смартфон редми 4,300 грн.,"Львів, Галицький",Сьогодні о 14:35
•• Xiaomi Redmi Note 13 8/256 6/128 Смартфони • Магазин • Гарантія,6 399 грн.,Зміїв,Сьогодні о 13:17
Смартфон Samsung S21 8/128gb,6 999 грн.,Софіївська Борщагівка,19 травня 2024 р.
Смартфон LG V50ThinQ,4 000 грн.,Краматорськ,Сьогодні о 14:35
Тримач стійка-пантограф для смартфона і планшета SlaviKo зі струбциною,415 грн.,Обухів,Сьогодні о 10:06
Смартфон iPhone Xs 64Gb (АКБ 79%) Neverlock,2 499 грн.,"Миколаїв, Центральний",19 травня 2024 р.
"Продам смартфон Xiaomi Poco m5s 4/128 global, nfs, 5000mh",4 500 грн.,"Харків, Шевченківський",17 травня 2024 р.
Смартфон LG g8 рабочий под всех операторов,3 000 грн.,"Одеса, Київський",18 травня 2024 р.
